wav,spec
5728.8,1.3192157427584743e-13 
5729.5,1.269725917016288e-13 
5730.2,1.314377300706155e-13 
5730.9,1.2883488437015587e-13 
5731.6,1.17429260978612e-13 
5732.3,1.3048048182226574e-13 
5733.0,1.271940576171703e-13 
5733.7,1.2853617217464876e-13 
5734.4,1.2103517960850324e-13 
5735.1,1.2968357993812934e-13 
5735.8,1.2000806936543046e-13 
5736.5,1.4130232354353668e-13 
5737.2,1.2004946790365436e-13 
5737.9,1.4050096792236587e-13 
5738.6,1.398180358661424e-13 
5739.3,1.3975213822960973e-13 
5740.0,1.3285823825523124e-13 
5740.7,1.2773448503720889e-13 
5741.4,1.1823600741991975e-13 
5742.1,1.1819611769414981e-13 
5742.8,1.2367965015097918e-13 
5743.5,1.3366537368570043e-13 
5744.2,1.3458586145595735e-13 
5744.9,1.201508861478175e-13 
5745.6,1.2895638900634888e-13 
5746.3,1.20341544677783e-13 
5747.0,1.4096186315370987e-13 
5747.7,1.2199114939593414e-13 
5748.4,1.2506667621011699e-13 
5749.1,1.3104341092185227e-13 
5749.8,1.2658177758769497e-13 
5750.5,1.2085324792223566e-13 
5751.2,1.220262529219732e-13 
5751.9,1.2743337888598905e-13 
5752.6,1.304848170675764e-13 
5753.3,1.348164954681068e-13 
5754.0,1.3225986558077538e-13 
5754.7,1.1491657217596883e-13 
5755.4,1.2461270954879033e-13 
5756.1,1.2373595027971046e-13 
5756.8,1.162292489724679e-13 
5757.5,1.2179020739942938e-13 
5758.2,1.2294512661210033e-13 
5758.9,1.4007257629869345e-13 
5759.6,1.233162197613106e-13 
5760.3,1.1956871775983836e-13 
5761.0,1.266523281469618e-13 
5761.7,1.3259365993216103e-13 
5762.4,1.1851389421935875e-13 
5763.1,1.2566263403814713e-13 
5763.8,1.2617827373768105e-13 
5764.5,1.349256381142519e-13 
5765.2,1.1968650394066546e-13 
5765.9,1.3648833859638487e-13 
5766.6,1.2252652863669524e-13 
5767.3,1.2289146663506445e-13 
5768.0,1.2841042464427962e-13 
5768.7,1.228722139301821e-13 
5769.4,1.297221626356518e-13 
5770.1,1.2286172473125627e-13 
5770.8,1.217066345949894e-13 
5771.5,1.3980523886871188e-13 
5772.2,1.3558374909427707e-13 
5772.9,1.2020673828205293e-13 
5773.6,1.2866450814556039e-13 
5774.3,1.2987876925812615e-13 
5775.0,1.2879335920337347e-13 
5775.7,1.2797521040955736e-13 
5776.4,1.194002396077147e-13 
5777.1,1.2912524891381756e-13 
5777.8,1.2949008198433005e-13 
5778.5,1.247238437300958e-13 
5779.2,1.241454292556058e-13 
5779.9,1.2634382200932981e-13 
5780.6,1.2831983473297267e-13 
5781.3,1.2357875476679872e-13 
5782.0,1.1592713349554785e-13 
5782.7,1.2570145206729034e-13 
5783.4,1.2269777662019888e-13 
5784.1,1.2274114804558017e-13 
5784.8,1.135501739150573e-13 
5785.5,1.2046009353818305e-13 
5786.2,1.2235221452264551e-13 
5786.9,1.2304980231118767e-13 
5787.6,1.2767939373622487e-13 
5788.3,1.2475948281655608e-13 
5789.0,1.3569088584474355e-13 
5789.7,1.171941879669845e-13 
5790.4,1.273925366558895e-13 
5791.1,1.2242979767402582e-13 
5791.8,1.1742829922940547e-13 
5792.5,1.311313916972025e-13 
5793.2,1.3188208610217314e-13 
5793.9,1.2915794163736065e-13 
5794.6,1.3258096749111722e-13 
5795.3,1.2375720024685754e-13 
5796.0,1.218646328333296e-13 
5796.7,1.2190883362571355e-13 
5797.4,1.2851201167466358e-13 
5798.1,1.205143072879317e-13 
5798.8,1.2145444833456672e-13 
5799.5,1.383098230389505e-13 
5800.2,1.228221385949828e-13 
5800.9,1.4119241530752068e-13 
5801.6,1.329454138946266e-13 
5802.3,1.3109382264996457e-13 
5803.0,1.2483192920837728e-13 
